Deputado,Partido,Estado
,MDB,AP
Acácio FavachoAdail Filho,REPUBLICANOS,AM
Adilson Barroso,PL,SP
Adolfo Viana,PSDB,BA
Adriana Ventura,NOVO,SP
Adriano Do Baldy,PP,GO
Aécio Neves,PSDB,MG
Afonso Hamm,PP,RS
Afonso Motta,PDT,RS
Aguinaldo Ribeiro,PP,PB
Airton Faleiro,PT,PA
Aj Albuquerque,PP,CE
Senador Alan Rick,UNIÃO,AC
Alberto Fraga,PL,DF
Albuquerque,REPUBLICANOS,RR
Alceu Moreira,MDB,RS
Alencar Santana,PT,SP
Senador Alessandro Vieira,MDB,SE
Alexandre Guimarães,MDB,TO
Alexandre Lindenmeyer,PT,RS
Alex Manente,CIDADANIA,SP
Alex Santana,REPUBLICANOS,BA
Alfredinho,PT,SP
Alfredo Gaspar,UNIÃO,AL
Alice Portugal,PCdoB,BA
Aliel Machado,PV,PR
Aline Gurgel,REPUBLICANOS,AP
Allan Garcês,PP,MA
Altineu Côrtes,PL,RJ
Aluisio Mendes,REPUBLICANOS,MA
Amanda Gentil,PP,MA
Amaro Neto,REPUBLICANOS,ES
Amom Mandel,CIDADANIA,AM
Ana Paula Leão,PP,MG
Ana Paula Lima,PT,SC
Senadora Ana Paula Lobato,PDT,MA
Ana Pimentel,PT,MG
André Abdon,PP,AP
André Fernandes,PL,CE
André Ferreira,PL,PE
André Figueiredo,PDT,CE
Andreia Siqueira,MDB,PA
Senador Angelo Coronel,PSD,BA
Antônia Lúcia,REPUBLICANOS,AC
Antonio Andrade,REPUBLICANOS,TO
Antonio Brito,PSD,BA
Antonio Carlos Rodrigues,PL,SP
Antônio Doido,MDB,PA
Any Ortiz,CIDADANIA,RS
Arlindo Chinaglia,PT,SP
Arnaldo Jardim,CIDADANIA,SP
Arthur Lira,PP,AL
Arthur Oliveira Maia,UNIÃO,BA
Senador Astronauta Marcos Pontes,PL,SP
Átila Lins,PSD,AM
Átila Lira,PP,PI
Senadora Augusta Brito,PT,CE
Augusto Coutinho,REPUBLICANOS,PE
Aureo Ribeiro,SOLIDARIEDADE,RJ
Bacelar,PV,BA
Baleia Rossi,MDB,SP
Bandeira De Mello,PSB,RJ
Bebeto,PP,RJ
Benedita Da Silva,PT,RJ
Benes Leocádio,UNIÃO,RN
Senador Beto Faro,PT,PA
Beto Pereira,PSDB,MS
Beto Richa,PSDB,PR
Bia Kicis,PL,DF
Bibo Nunes,PL,RS
Bohn Gass,PT,RS
Bruno Farias,AVANTE,MG
Bruno Ganem,PODE,SP
Cabo Gilberto Silva,PL,PB
Caio Vianna,PSD,RJ
Camila Jara,PT,MS
Capitão Alberto Neto,PL,AM
Capitão Alden,PL,BA
Capitão Augusto,PL,SP
Carla Dickson,UNIÃO,RN
Carlos Henrique Gaguim,UNIÃO,TO
Carlos Jordy,PL,RJ
Senador Carlos Portinho,PL,RJ
Carlos Sampaio,PSD,SP
Carlos Veras,PT,PE
Senador Carlos Viana,PODEMOS,MG
Carlos Zarattini,PT,SP
Carol Dartora,PT,PR
Caroline De Toni,PL,SC
Castro Neto,PSD,PI
Célia Xakriabá,PSOL,MG
Célio Silveira,MDB,GO
Célio Studart,PSD,CE
Celso Russomanno,REPUBLICANOS,SP
Cezinha De Madureira,PSD,SP
Charles Fernandes,PSD,BA
Chico Alencar,PSOL,RJ
Senador Chico Rodrigues,PSB,RR
Chris Tonietto,PL,RJ
Senador Cid Gomes,PSB,CE
Senador Ciro Nogueira,PP,PI
Clarissa Tércio,PP,PE
Claudio Cajado,PP,BA
Cleber Verde,MDB,MA
Senador Cleitinho,REPUBLICANOS,MG
Clodoaldo Magalhães,PV,PE
Cobalchini,MDB,SC
Senador Confúcio Moura,MDB,RO
Coronel Assis,UNIÃO,MT
Coronel Chrisóstomo,PL,RO
Coronel Fernanda,PL,MT
Coronel Meira,PL,PE
Coronel Ulysses,UNIÃO,AC
Covatti Filho,PP,RS
Cristiane Lopes,UNIÃO,RO
Dagoberto Nogueira,PSDB,MS
Daiana Santos,PCdoB,RS
Dal Barreto,UNIÃO,BA
Senadora Damares Alves,REPUBLICANOS,DF
Damião Feliciano,UNIÃO,PB
Dandara,PT,MG
Dani Cunha,UNIÃO,RJ
Daniela Do Waguinho,UNIÃO,RJ
Daniel Agrobom,PL,GO
Daniel Almeida,PCdoB,BA
Daniela Reinehr,PL,SC
Daniel Barbosa,PP,AL
Daniel Freitas,PL,SC
Senadora Daniella Ribeiro,PP,PB
Daniel Trzeciak,PSDB,RS
Danilo Forte,UNIÃO,CE
Danrlei De Deus Hinterholz,PSD,RS
Senador Davi Alcolumbre,UNIÃO,AP
David Soares,UNIÃO,SP
Da Vitoria,PP,ES
Dayany Bittencourt,UNIÃO,CE
Defensor Stélio Dener,REPUBLICANOS,RR
Delegada Adriana Accorsi,PT,GO
Delegada Ione,AVANTE,MG
Delegada Katarina,PSD,SE
Delegado Bruno Lima,PP,SP
Delegado Caveira,PL,PA
Delegado Da Cunha,PP,SP
Delegado Éder Mauro,PL,PA
Delegado Fabio Costa,PP,AL
Delegado Marcelo Freitas,UNIÃO,MG
Delegado Matheus Laiola,UNIÃO,PR
Delegado Palumbo,MDB,SP
Delegado Paulo Bilynskyj,PL,SP
Delegado Ramagem,PL,RJ
Denise Pessôa,PT,RS
Detinha,PL,MA
Diego Andrade,PSD,MG
Diego Coronel,PSD,BA
Diego Garcia,REPUBLICANOS,PR
Dilceu Sperafico,PP,PR
Dilvanda Faro,PT,PA
Dimas Fabiano,PP,MG
Dimas Gadelha,PT,RJ
Domingos Neto,PSD,CE
Domingos Sávio,PL,MG
Dorinaldo Malafaia,PDT,AP
Douglas Viegas,UNIÃO,SP
Doutor Luizinho,PP,RJ
Dr. Fernando Máximo,UNIÃO,RO
Dr. Francisco,PT,PI
Dr. Frederico,PRD,MG
Senador Dr. Hiran,PP,RR
Dr. Ismael Alexandrino,PSD,GO
Dr. Jaziel,PL,CE
Dr. Luiz Ovando,PP,MS
Dr. Victor Linhalis,PODE,ES
Dr. Zacharias Calil,UNIÃO,GO
Dra. Alessandra Haber,MDB,PA
Senadora Dra. Eudócia,PL,AL
Duarte Jr.,PSB,MA
Duda Ramos,MDB,RR
Duda Salabert,PDT,MG
Eduardo Bolsonaro,PL,SP
Senador Eduardo Braga,MDB,AM
Eduardo Da Fonte,PP,PE
Senador Eduardo Girão,NOVO,CE
Senador Eduardo Gomes,PL,TO
Eduardo Velloso,UNIÃO,AC
Senador Efraim Filho,UNIÃO,PB
Elcione Barbalho,MDB,PA
Eli Borges,PL,TO
Senadora Eliziane Gama,PSD,MA
Elmar Nascimento,UNIÃO,BA
Ely Santos,REPUBLICANOS,SP
Emanuel Pinheiro Neto,MDB,MT
Emidinho Madeira,PL,MG
Enfermeira Ana Paula,PODE,CE
Enfermeira Rejane,PCdoB,RJ
Eriberto Medeiros,PSB,PE
Erika Hilton,PSOL,SP
Erika Kokay,PT,DF
Eros Biondini,PL,MG
Senador Esperidião Amin,PP,SC
Euclydes Pettersen,REPUBLICANOS,MG
Evair Vieira De Melo,PP,ES
Senador Fabiano Contarato,PT,ES
Fábio Macedo,PODE,MA
Fabio Reis,PSD,SE
Fabio Schiochet,UNIÃO,SC
Fábio Teruel,MDB,SP
Fausto Pinato,PP,SP
Fausto Santos Jr.,UNIÃO,AM
Felipe Becari,UNIÃO,SP
Felipe Carreras,PSB,PE
Felipe Francischini,UNIÃO,PR
Félix Mendonça Júnior,PDT,BA
Fernanda Melchionna,PSOL,RS
Fernanda Pessoa,UNIÃO,CE
Fernando Coelho Filho,UNIÃO,PE
Senador Fernando Dueire,MDB,PE
Senador Fernando Farias,MDB,AL
Fernando Mineiro,PT,RN
Fernando Monteiro,REPUBLICANOS,PE
Fernando Rodolfo,PL,PE
Filipe Barros,PL,PR
Filipe Martins,PL,TO
Flávia Morais,PDT,GO
Senador Flávio Arns,PSB,PR
Senador Flávio Bolsonaro,PL,RJ
Flávio Nogueira,PT,PI
Florentino Neto,PT,PI
Franciane Bayer,REPUBLICANOS,RS
Fred Costa,PRD,MG
Fred Linhares,REPUBLICANOS,DF
Gabriel Mota,REPUBLICANOS,RR
Gabriel Nunes,PSD,BA
General Girão,PL,RN
General Pazuello,PL,RJ
Geovania De Sá,PSDB,SC
Geraldo Mendes,UNIÃO,PR
Geraldo Resende,PSDB,MS
Gervásio Maia,PSB,PB
Giacobo,PL,PR
Gilberto Abramo,REPUBLICANOS,MG
Gilberto Nascimento,PSD,SP
Gilson Daniel,PODE,ES
Gilson Marques,NOVO,SC
Gilvan Da Federal,PL,ES
Senador Giordano,MDB,SP
Giovani Cherini,PL,RS
Gisela Simona,UNIÃO,MT
